STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_AREA,SHAPE_LEN
25,027,732902,25027732902,7329.02,Census Tract 7329.02,G5020,911351.00000000,25313.00000000,+42.2380581,-071.8056571,10081415.16000000,231.43740000,2459,25,0190270,171815,0004146,0171815,936597.85569899995,4641.01804974000
25,027,730500,25027730500,7305,Census Tract 7305,G5020,2745541.00000000,807647.00000000,+42.2902384,-071.8050176,38243395.15000000,877.94750000,3535,1692,0190116,171661,0004111,0171661,3552941.89405999985,10776.15803170000
25,027,732301,25027732301,7323.01,Census Tract 7323.01,G5020,2831296.00000000,53699.00000000,+42.2491030,-071.7561030,31051464.02000000,712.84350000,4155,1827,0190229,171774,0004137,0171774,2884786.92246000003,10985.12494600000
25,027,731203,25027731203,7312.03,Census Tract 7312.03,G5020,751557.00000000,9011.00000000,+42.2501074,-071.8252790,8186054.96000000,187.92600000,5198,2276,0190166,171711,0004123,0171711,760512.39594900003,5590.34449454000
25,027,732700,25027732700,7327,Census Tract 7327,G5020,856138.00000000,921.00000000,+42.2420846,-071.7927394,9224617.85000000,211.76810000,3938,1849,0190252,171797,0004142,0171797,856998.47530900000,5598.67781681000
25,027,732302,25027732302,7323.02,Census Tract 7323.02,G5020,888674.00000000,0.00000000,+42.2536879,-071.7745048,9564919.23000000,219.58030000,3902,1716,0190233,171778,0004138,0171778,888613.62840399996,4317.72964707000
25,027,730402,25027730402,7304.02,Census Tract 7304.02,G5020,720559.00000000,0.00000000,+42.2869132,-071.7911885,7755463.66000000,178.04090000,1660,676,0190113,171658,0004110,0171658,720509.03089499997,3603.34792183000
25,027,731800,25027731800,7318,Census Tract 7318,G5020,1584200.00000000,41837.00000000,+42.2690031,-071.7836076,17501173.16000000,401.77170000,6172,2957,0190200,171745,0004130,0171745,1625918.70727999997,6370.72065001000
25,027,730200,25027730200,7302,Census Tract 7302,G5020,4082519.00000000,10906.00000000,+42.3158375,-071.7804674,44058157.24000000,1011.43610000,5583,2477,0190095,171640,0004107,0171640,4093153.11397999991,11671.23250520000
25,027,730401,25027730401,7304.01,Census Tract 7304.01,G5020,2691315.00000000,28340.00000000,+42.2958941,-071.7846182,29272038.03000000,671.99350000,5444,2453,0190108,171653,0004109,0171653,2719472.19967000000,9608.59940276000
25,027,732202,25027732202,7322.02,Census Tract 7322.02,G5020,1715783.00000000,10957.00000000,+42.2633341,-071.7713753,18585136.11000000,426.65600000,3240,1372,0190221,171766,0004135,0171766,1726622.56379000004,5778.43119474000
25,027,731202,25027731202,7312.02,Census Tract 7312.02,G5020,99200.00000000,0.00000000,+42.2515091,-071.8234550,1067707.62000000,24.51120000,1111,1,0190164,171709,0004122,0171709,99193.68754699999,1335.68610549000
25,027,732001,25027732001,7320.01,Census Tract 7320.01,G5020,1108317.00000000,4552.00000000,+42.3075850,-071.7734545,11977968.27000000,274.97630000,3327,1170,0190212,171757,0004132,0171757,1112794.15403999994,4758.31097608000
25,027,733000,25027733000,7330,Census Tract 7330,G5020,1685312.00000000,10045.00000000,+42.2466163,-071.8134518,18247351.03000000,418.90150000,3762,1396,0190272,171817,0004147,0171817,1695241.15167999989,6203.99821594000
25,027,739300,25027739300,7393,Census Tract 7393,G5020,2716033.00000000,0.00000000,+42.2837187,-071.7210768,29233042.55000000,671.09830000,3688,1619,0190348,171895,0004165,0171895,2715849.37551999977,7706.40572383000
25,027,731400,25027731400,7314,Census Tract 7314,G5020,729167.00000000,0.00000000,+42.2584573,-071.8161911,7848120.51000000,180.16810000,4673,1775,0190178,171723,0004126,0171723,729117.17376799998,3945.29024071000
25,027,732801,25027732801,7328.01,Census Tract 7328.01,G5020,3483753.00000000,125018.00000000,+42.2389324,-071.7538858,38841585.98000000,891.68010000,4829,2369,0190257,171802,0004143,0171802,3608515.86341999983,9731.37461349000
25,027,732901,25027732901,7329.01,Census Tract 7329.01,G5020,4906356.00000000,59352.00000000,+42.2261182,-071.7990704,53446495.92000000,1226.96270000,6592,2965,0190264,171809,0004145,0171809,4965361.82646999974,12733.16632970000
25,027,736200,25027736200,7362,Census Tract 7362,G5020,6496193.00000000,439528.00000000,+42.2124221,-071.8584709,74649897.09999999,1713.72580000,3722,1535,0190296,171841,0004153,0171841,6935230.11443999968,12326.61618310000
25,027,735200,25027735200,7352,Census Tract 7352,G5020,23847081.00000000,1427439.00000000,+42.2403868,-071.8896051,272032538.32999998,6245.00780000,4257,1681,0190287,171832,0004151,0171832,25272750.85999999940,30106.50741080000
25,027,732201,25027732201,7322.01,Census Tract 7322.01,G5020,1409605.00000000,184854.00000000,+42.2672651,-071.7590113,17161354.79000000,393.97050000,2820,1510,0190218,171763,0004134,0171763,1594348.41333999997,6331.07238435000
25,027,732203,25027732203,7322.03,Census Tract 7322.03,G5020,1144891.00000000,0.00000000,+42.2625853,-071.7826456,12322638.56000000,282.88890000,2853,1262,0190225,171770,0004136,0171770,1144815.14290999994,5815.98018240000
